sample,group,file_mb,nodes,ctetra,cbar,conm2,surface_triangles,surface_triangles_p2,rbe2_edges,rbe3_edges,contact_pairs,contact_edges,contact_edges_active,fixed_nodes,n_blobs,total_mass_kg,payload_mass_kg,frequency_hz,eigval,bbox_x_m,bbox_y_m,bbox_z_m,bbox_diag_m,bbox_volume_m3,cbar_length_mean_m,cbar_length_max_m,cbar_radius_mean_m,pipeline_version,pipeline_git_sha
g1_11,g1,139.72230911254883,430538,253502,142,1,91664,366656,23598,798,16,11931,11772,4310,9,11.271823069720885,2.872999906539917,321.12719289859075,4071119.75,0.3200000524520874,0.3199999928474426,0.18400001525878906,0.48852434754371643,0.01884160377085209,0.008915283717215061,0.02000001072883606,0.0025500005576759577,lg_vs_260430.v3,98c9d43
g1_12,g1,180.43919467926025,557047,328177,166,1,118240,472960,28694,1088,18,13413,13215,6360,10,14.194974150085676,2.619999885559082,472.29994829409327,8806341.0,0.4200000762939453,0.42000001668930054,0.14500004053115845,0.6114124059677124,0.025578012689948082,0.008758742362260818,0.010499954223632812,0.002550000324845314,lg_vs_260430.v3,98c9d43
g1_13,g1,126.27705574035645,386583,224629,152,1,85860,343440,23156,816,23,12111,12009,3549,14,7.557405104564529,0.39899998903274536,1360.5019930010114,73073192.0,0.24000000953674316,0.3199999928474426,0.18000000715255737,0.4386342465877533,0.01382400095462799,0.00828262697905302,0.013999998569488525,0.0025500000920146704,lg_vs_260430.v3,98c9d43
g1_14,g1,94.88227081298828,293308,178569,74,1,54866,219464,12949,940,9,5052,5016,3756,9,7.614369427863292,1.5,1594.5267474129655,100374496.0,0.33000001311302185,0.22999998927116394,0.10399999469518661,0.41547080874443054,0.007893599569797516,0.009136484935879707,0.01940000057220459,0.002463513519614935,lg_vs_260430.v3,98c9d43
g1_15,g1,79.38599586486816,246588,148700,52,1,47986,191944,11947,280,5,4470,4281,4122,6,6.754200026167805,1.5,1088.2238662001982,46751576.0,0.3199999928474426,0.22999998927116394,0.09120020270347595,0.40449655055999756,0.006712334230542183,0.011411583051085472,0.015500199981033802,0.002457692753523588,lg_vs_260430.v3,98c9d43
g1_16,g1,189.10504722595215,581325,344316,186,1,121000,484000,24177,1374,34,17532,15711,5272,23,13.143574600034437,1.8300000429153442,1023.3912297531197,41346916.0,0.3300013840198517,0.37500110268592834,0.16899365186691284,0.5273382067680359,0.02091311290860176,0.008274831809103489,0.01733444444835186,0.002184408251196146,lg_vs_260430.v3,98c9d43
g1_17,g1,235.45585536956787,715808,415859,258,1,159472,637888,41263,1700,39,22488,22374,6360,18,16.395295943644832,2.7809998989105225,991.3937812284404,38801820.0,0.2399999499320984,0.7300000190734863,0.1459999680519104,0.7821866869926453,0.025579189881682396,0.008548391982913017,0.013500034809112549,0.0025499998591840267,lg_vs_260430.v3,98c9d43
g1_18,g1,133.6130199432373,410747,240115,160,1,89504,358016,24319,818,21,11898,11868,3180,14,8.89908494334727,1.100000023841858,1045.7287192709166,43171564.0,0.24000000953674316,0.3499999940395355,0.17882788181304932,0.46052080392837524,0.015021542087197304,0.00852453988045454,0.011929988861083984,0.0025103497318923473,lg_vs_260430.v3,98c9d43
g1_19,g1,311.01108837127686,946179,546578,412,1,214618,858472,62277,1984,54,30657,30453,6360,33,19.837735578087607,2.780600070953369,1016.3905882035639,40783172.0,0.25,0.7640005350112915,0.1697598695755005,0.8215931057929993,0.03242415934801102,0.008561581373214722,0.014999985694885254,0.002522815717384219,lg_vs_260430.v3,98c9d43
g1_20,g1,457.7715377807617,1361991,804355,514,1,286510,1146040,85377,4383,57,47556,46299,11541,28,30.62645960533405,4.599999904632568,854.8002947178142,28846232.0,0.23500001430511475,1.4000002145767212,0.15400004386901855,1.427915096282959,0.050666023045778275,0.008539585396647453,0.010500013828277588,0.0025527235120534897,lg_vs_260430.v3,98c9d43
g2_0001,g2,225.52437210083008,695674,411517,236,1,145370,581480,37349,1554,36,16992,16971,8034,23,15.381420860236208,1.8300000429153442,1070.9721853228828,45281012.0,0.3300014138221741,0.5300006866455078,0.15299367904663086,0.6428131461143494,0.026758743450045586,0.009759511798620224,0.022399961948394775,0.002522881608456373,lg_vs_260430.v3,98c9d43
g2_0002,g2,85.15735340118408,260477,151242,104,1,58014,232056,16460,1152,16,9885,9675,2417,10,7.007576103332201,2.5220000743865967,472.9073093574403,8829005.0,0.24000000953674316,0.22599801421165466,0.14399999380111694,0.3597375452518463,0.007810491602867842,0.008623939007520676,0.012557029724121094,0.002488461323082447,lg_vs_260430.v3,98c9d43
g2_0007,g2,137.1750955581665,422053,246172,164,1,92410,369640,22676,1173,21,13950,13824,3180,16,10.604774532620667,2.5299999713897705,372.27316479495005,5471207.5,0.26791733503341675,0.3600000739097595,0.16960519552230835,0.47973498702049255,0.01635846495628357,0.010458250530064106,0.019999941810965538,0.0025304879527539015,lg_vs_260430.v3,98c9d43
g2_0008,g2,248.918550491333,763934,446052,266,1,166440,665760,38507,1693,75,30630,27606,6095,33,16.242998230523966,1.7400000095367432,574.4340971102747,13026873.0,0.5300003290176392,0.1873892992734909,0.32999950647354126,0.6518548727035522,0.03277435898780823,0.011241927742958069,0.02700006030499935,0.0023499999660998583,lg_vs_260430.v3,98c9d43
g2_0009,g2,163.86036777496338,496669,280269,256,1,120462,481848,29565,1615,44,21516,20733,3255,31,8.94974990581569,0.8220000267028809,456.16577136290147,8214954.0,0.43000030517578125,0.20521336793899536,0.23000019788742065,0.5290679335594177,0.020295633003115654,0.010159621946513653,0.022800110280513763,0.0023125000298023224,lg_vs_260430.v3,98c9d43
g2_0010,g2,194.51519107818604,592857,338420,276,1,138810,555240,34066,3358,45,22431,21600,2604,32,12.236875396940492,2.447000026702881,245.04534052876028,2370569.25,0.38999998569488525,0.20654620230197906,0.24500000476837158,0.5047636032104492,0.019735489040613174,0.01091125700622797,0.015000000596046448,0.0023966007865965366,lg_vs_260430.v3,98c9d43
g2_0011,g2,215.1398868560791,657492,380257,330,1,148240,592960,36446,1844,49,23382,22356,2604,37,14.269059117080308,2.5239999294281006,297.1015768963946,3484734.0,0.4699999988079071,0.2252851128578186,0.24499991536140442,0.5759152173995972,0.025941571220755577,0.01003335602581501,0.01800006441771984,0.002319697290658951,lg_vs_260430.v3,98c9d43
g2_0017,g2,246.31243896484375,754592,433903,372,1,173150,692600,40735,4787,63,24651,24087,2170,42,14.907861778048701,1.1510000228881836,373.4949198915415,5507178.0,0.4699999988079071,0.2580677270889282,0.2499999850988388,0.5916070938110352,0.030322955921292305,0.01045344676822424,0.015325586311519146,0.0022666663862764835,lg_vs_260430.v3,98c9d43
g2_0018,g2,107.65243339538574,330324,190404,116,1,75250,301000,13442,576,11,8580,8535,1953,8,7.733281314828473,1.4609999656677246,340.998985340269,4590562.5,0.2839997112751007,0.25,0.24199998378753662,0.4491322934627533,0.01718198135495186,0.011064657010138035,0.01400001347064972,0.0021327584981918335,lg_vs_260430.v3,98c9d43
g2_0019,g2,199.75264739990234,609980,364656,280,1,123426,493704,38761,1871,26,21291,20853,3610,15,13.935598496834427,1.590000033378601,814.5515793998399,26193704.0,0.3600004017353058,0.205000102519989,0.24500010907649994,0.4813007116317749,0.01808103732764721,0.01401428785175085,0.024000000208616257,0.002489999867975712,lg_vs_260430.v3,98c9d43
g2_0021,g2,142.62800121307373,433899,246769,234,1,102786,411144,22024,2534,32,18840,18348,1736,25,9.68414668540071,2.303999900817871,362.824350309738,5196998.0,0.3600004315376282,0.17227819561958313,0.26200011372566223,0.4774140417575836,0.01624930649995804,0.010263186879456043,0.024999963119626045,0.0021499996073544025,lg_vs_260430.v3,98c9d43
g2_0022,g2,141.14333057403564,432463,244174,241,1,104880,419520,22860,2325,30,16020,15762,1072,25,8.307530010105577,1.378000020980835,262.82280390423205,2727004.25,0.35499998927116394,0.2091986984014511,0.2678073048591614,0.49143651127815247,0.019888851791620255,0.009893185459077358,0.019999980926513672,0.0021499996073544025,lg_vs_260430.v3,98c9d43
g2_0023,g2,172.4701108932495,529214,301019,312,1,124734,498936,26731,1713,42,19143,18504,1736,35,11.242964575526862,2.5880000591278076,266.73787562201846,2808853.75,0.36400002241134644,0.2613145112991333,0.25656986236572266,0.516342282295227,0.024404536932706833,0.00727596553042531,0.015999997034668922,0.002150285057723522,lg_vs_260430.v3,98c9d43
g2_0024,g2,133.6129961013794,410747,240115,160,1,89504,358016,24319,818,21,11898,11868,3180,14,8.89908494334727,1.100000023841858,1045.7287192709166,43171564.0,0.24000000953674316,0.3499999940395355,0.17882788181304932,0.46052080392837524,0.015021542087197304,0.00852453988045454,0.011929988861083984,0.0025103497318923473,lg_vs_260430.v3,98c9d43
g2_0026,g2,271.2663230895996,827699,484413,284,1,179950,719800,44458,809,35,25011,24732,5084,20,17.869405774597883,1.3170000314712524,819.7645254850959,26530046.0,0.3450000286102295,0.36000001430511475,0.2690432667732239,0.5665768384933472,0.03341517969965935,0.013689359650015831,0.027000155299901962,0.0024936620611697435,lg_vs_260430.v3,98c9d43
g2_0028,g2,210.55960369110107,645240,378175,230,1,138992,555968,32293,593,21,22251,22161,4695,14,14.4111911248472,1.2710000276565552,550.3528584759897,11957550.0,0.24000102281570435,0.45000332593917847,0.24745678901672363,0.5668671131134033,0.0267256461083889,0.011590775102376938,0.01900005340576172,0.002550000324845314,lg_vs_260430.v3,98c9d43
g2_0032,g2,237.22423553466797,722979,430482,272,1,147990,591960,38195,1281,30,20781,20379,5415,19,17.01499666632352,1.3619999885559082,1136.361864070783,50979200.0,0.4700002074241638,0.21900001168251038,0.24499990046024323,0.5734859704971313,0.025217853486537933,0.013411540538072586,0.024000003933906555,0.0024558824952691793,lg_vs_260430.v3,98c9d43
g2_0034,g2,239.3795051574707,730876,435002,240,1,149964,599856,36557,1230,27,21186,20961,5415,16,17.440834396014054,1.3639999628067017,1056.7155393609783,44083484.0,0.4699999988079071,0.23400002717971802,0.24500000476837158,0.5793798565864563,0.026945102959871292,0.01503648143261671,0.028000840917229652,0.0025100000202655792,lg_vs_260430.v3,98c9d43
g2_0035,g2,208.46366500854492,640033,384558,232,1,126130,504520,26586,192,23,26400,25854,5484,14,15.464871893234621,0.6449999809265137,1517.4112038929707,90900504.0,0.3599998354911804,0.1823209971189499,0.22699999809265137,0.4630008935928345,0.014899265952408314,0.012914667837321758,0.030000001192092896,0.002377586206421256,lg_vs_260430.v3,98c9d43
g2_0036,g2,127.9712905883789,395486,236228,132,1,79796,319184,23153,422,21,11022,11022,3656,12,9.576142217876683,1.2999999523162842,812.6670543168426,26072640.0,0.3700000047683716,0.15102419257164001,0.1899999976158142,0.44250234961509705,0.010617000982165337,0.008533262647688389,0.012000000104308128,0.0024787874426692724,lg_vs_260430.v3,98c9d43
g2_0044,g2,125.00448322296143,382663,225595,144,1,81102,324408,22395,1016,24,12267,11259,3130,14,8.745753079213893,1.274999976158142,1219.3492768998992,58697008.0,0.3499999940395355,0.11973799765110016,0.24499979615211487,0.4436914324760437,0.010267524048686028,0.013393804430961609,0.019000008702278137,0.0025500000920146704,lg_vs_260430.v3,98c9d43
g2_0047,g2,86.9884557723999,265958,153270,96,1,60574,242296,15508,192,9,11241,11190,3975,6,5.28396063602632,0.27799999713897705,838.0949318336314,27729762.0,0.25999999046325684,0.18400000035762787,0.17403699457645416,0.36296677589416504,0.008325929753482342,0.01153124962002039,0.015000002458691597,0.0024270829744637012,lg_vs_260430.v3,98c9d43
g2_0049,g2,172.9715051651001,529477,314956,210,1,108926,435704,28563,436,24,16368,15945,4332,13,12.648670535882374,1.2740000486373901,1388.5765208580742,76120096.0,0.3700001835823059,0.16258709132671356,0.2460000067949295,0.47312864661216736,0.014798684976994991,0.013969046995043755,0.02399998903274536,0.0025347622577100992,lg_vs_260430.v3,98c9d43
g2_0050,g2,118.03540420532227,361311,213422,154,1,76120,304480,22868,416,19,12033,11928,2817,10,7.727936955367227,0.38199999928474426,1828.6994661860751,132021432.0,0.26999998092651367,0.1290000081062317,0.24000000953674316,0.38358962535858154,0.008359200321137905,0.013333856128156185,0.019000008702278137,0.002529220888391137,lg_vs_260430.v3,98c9d43
g2_1014,g2,71.75378894805908,220547,124663,108,1,53186,212744,10469,1248,12,7869,7689,1302,9,4.61997722601854,1.0,664.1810099906977,17415366.0,0.27399998903274536,0.16500002145767212,0.19985780119895935,0.3771526515483856,0.009035572409629822,0.009537030011415482,0.013999998569488525,0.0021499996073544025,lg_vs_260430.v3,98c9d43
