case,resolution,n_verts_a_before,n_quads_a_before,free_a_before,tj_a_before,nm_a_before,dup_a_before,orphan_a_before,comp_a_before,sliv_q_a_before,sliv_t_a_before,nonplanar_q_a_before,inverted_q_a_before,aspect_p95_a_before,min_angle_p05_a_before,planarity_p95_a_before,mean_edge_a_before,edge_cv_a_before,n_verts_a_after,n_quads_a_after,free_a_after,tj_a_after,nm_a_after,dup_a_after,orphan_a_after,comp_a_after,sliv_q_a_after,sliv_t_a_after,nonplanar_q_a_after,inverted_q_a_after,aspect_p95_a_after,min_angle_p05_a_after,planarity_p95_a_after,mean_edge_a_after,edge_cv_a_after,coverage
l_shape,8.0,434.0,390.0,82.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,1.025,90.0,0.0,7.868,0.046,418,377,80,0,0,0,0,1,0,0,8,0,1.046,90.0,0.0,8.007,0.052,both
l_shape_nonrect,2.0,9246.0,9044.0,398.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,1.008,90.0,0.0,1.993,0.01,9175,8976,396,0,0,0,0,1,0,0,8,0,1.008,90.0,0.0,2.0,0.011,both
l_shape_nonrect,4.0,2380.0,2278.0,198.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,1.022,90.0,0.0,3.972,0.021,2343,2244,196,0,0,0,0,1,0,0,8,0,1.008,90.0,0.0,4.002,0.02,both
l_shape_nonrect,8.0,630.0,578.0,98.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,8.0,0.0,1.051,90.0,0.0,7.898,0.042,610,561,96,0,0,0,0,1,0,0,8,0,1.008,90.0,0.0,8.018,0.039,both
long_thin_panel,2.0,,,,,,,,,,,,,,,,,,6154,6000,306,0,0,0,0,1,0,0,8,0,1.0,90.0,0.0,2.0,0.012,after_only
long_thin_panel,4.0,,,,,,,,,,,,,,,,,,1597,1520,152,0,0,0,0,1,0,0,8,0,1.013,90.0,0.0,3.977,0.025,after_only
long_thin_panel,8.0,,,,,,,,,,,,,,,,,,418,380,74,0,0,0,0,1,0,0,6,0,1.013,90.0,0.0,7.962,0.037,after_only
mismatched_resolution,2.0,,,,,,,,,,,,,,,,,,12461,12220,480,0,0,0,0,1,0,0,4,0,1.004,90.0,0.0,2.001,0.01,after_only
mismatched_resolution,4.0,,,,,,,,,,,,,,,,,,3214,3093,240,0,0,0,0,1,0,0,4,0,1.07,90.0,0.0,3.979,0.026,after_only
mismatched_resolution,8.0,,,,,,,,,,,,,,,,,,842,782,118,0,0,0,0,1,0,0,4,0,1.07,90.0,0.0,7.928,0.045,after_only
mixed_fold_dirs,2.0,,,,,,,,,,,,,,,,,,14981,14720,520,0,0,0,0,1,0,0,16,0,1.0,90.0,0.0,2.0,0.011,after_only
mixed_fold_dirs,4.0,,,,,,,,,,,,,,,,,,3850,3720,258,0,0,0,0,1,0,0,16,0,1.02,90.0,0.0,3.981,0.023,after_only
mixed_fold_dirs,8.0,,,,,,,,,,,,,,,,,,983,920,124,0,0,0,0,1,0,0,16,0,1.025,90.0,0.0,8.022,0.045,after_only
nearly_aligned_free_edges,2.0,,,,,,,,,,,,,,,,,,13361,13120,480,0,0,0,0,1,0,0,16,0,1.0,90.0,0.0,2.0,0.011,after_only
nearly_aligned_free_edges,4.0,,,,,,,,,,,,,,,,,,3358,3240,234,0,0,0,0,1,0,0,16,0,1.025,90.0,0.0,4.028,0.025,after_only
nearly_aligned_free_edges,8.0,,,,,,,,,,,,,,,,,,857,800,112,0,0,0,0,1,0,0,16,0,1.025,90.0,0.0,8.127,0.048,after_only
quad_junction,2.0,,,,,,,,,,,,,,,,,,19626,23104,423,0,7492,0,0,1,0,0,11,1,1.0,90.0,0.0,2.0,0.011,after_only
quad_junction,4.0,,,,,,,,,,,,,,,,,,6000,5775,295,54,0,0,0,1,0,0,10,4,1.033,86.03,0.0,3.97,0.051,after_only
quad_junction,8.0,,,,,,,,,,,,,,,,,,1554,1450,144,24,0,0,0,1,0,0,10,3,1.587,50.19,0.0,7.891,0.073,after_only
staircase,2.0,34797.0,34262.0,1306.0,0.0,0.0,57.0,56.0,1.0,14364.0,0.0,4.0,51.0,862.96,90.0,0.0,1.232,0.775,14814,14566,506,0,0,0,0,1,0,0,19,2,1.019,90.0,0.0,1.997,0.039,both
staircase,4.0,8983.0,8712.0,654.0,116.0,0.0,60.0,59.0,1.0,1285.0,0.0,69.0,25.0,12.768,90.0,0.0,2.454,0.529,3823,3700,252,0,0,0,0,1,0,0,18,1,1.019,90.0,0.0,3.964,0.071,both
staircase,8.0,2391.0,2252.0,300.0,29.0,0.0,33.0,33.0,1.0,181.0,0.0,43.0,0.0,6.779,90.0,0.0,4.838,0.484,1016,955,128,0,0,0,0,1,2,0,17,1,3.962,90.0,0.0,7.817,0.139,both
t_shape,2.0,12400.0,12139.0,512.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.008,90.0,0.0,1.987,0.012,12272,12017,508,0,0,0,0,1,0,0,16,0,1.017,90.0,0.0,1.997,0.014,both
t_shape,4.0,3264.0,3131.0,256.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.012,90.0,0.0,3.915,0.024,3164,3038,250,0,0,0,0,1,0,0,16,0,1.038,90.0,0.0,3.976,0.03,both
t_shape,8.0,884.0,816.0,126.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.031,90.0,0.0,7.69,0.048,863,800,124,0,0,0,0,1,0,0,16,0,1.071,90.0,0.0,7.77,0.054,both
t_shape_nonrect,2.0,15138.0,14878.0,510.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.007,90.0,0.0,1.997,0.011,15047,14792,508,0,0,0,0,1,0,0,16,0,1.007,90.0,0.0,2.003,0.011,both
t_shape_nonrect,4.0,3916.0,3784.0,254.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.02,90.0,0.0,3.963,0.023,3780,3655,248,0,0,0,0,1,0,0,16,0,1.021,90.0,0.0,4.032,0.023,both
t_shape_nonrect,8.0,1058.0,990.0,126.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,16.0,0.0,1.037,90.0,0.0,7.761,0.044,1008,946,122,0,0,0,0,1,0,0,16,0,1.045,90.0,0.0,7.943,0.047,both
tiny_panel,2.0,,,,,,,,,,,,,,,,,,10805,10600,408,0,0,0,0,1,0,0,8,0,1.0,90.0,0.0,2.0,0.009,after_only
